,iter,BBQ,QuEST
212,10600,1.938082218170166,1.9272193908691408
216,10800,1.937904953956604,1.9273303747177124
220,11000,1.9377692937850952,1.9273828268051147
224,11200,1.937650680541992,1.9274500608444212
228,11400,1.937524676322937,1.9275356531143188
232,11600,1.9374620914459229,1.927600979804993
236,11800,1.9374136924743648,1.9276598691940308
240,12000,1.9373873472213743,1.927714705467224
244,12200,1.937379002571106,1.9277833700180051
248,12400,1.937361240386963,1.9278308153152464
252,12600,1.9373210668563845,1.9278826713562007
256,12800,1.93735671043396,1.927946925163269
260,13000,1.9373894929885864,1.928002119064331
264,13200,1.9374064207077024,1.928047776222229
268,13400,1.9374529123306277,1.9280869960784912
272,13600,1.937516927719116,1.92812979221344
276,13800,1.9375840425491333,1.9281772375106807
280,14000,1.9376814365386963,1.9282060861587524
284,14200,1.9377377033233645,1.9282572269439695
288,14400,1.9378212690353396,1.9282833337783811
292,14600,1.937922477722168,1.9283236265182493
296,14800,1.9379736185073853,1.9283578395843504
300,15000,1.9380861520767207,1.9283950328826904
304,15200,1.9381853342056277,1.928409576416016
308,15400,1.9383203983306885,1.9284460544586184
312,15600,1.9384242296218872,1.9284653663635252
316,15800,1.9385123252868648,1.9285274744033811
320,16000,1.9386266469955444,1.92854642868042
324,16200,1.938747763633728,1.928550124168396
328,16400,1.938847780227661,1.9285727739334104
332,16600,1.938969731330872,1.9286000728607176
336,16800,1.9391106367111208,1.9285746812820437
340,17000,1.9392451047897337,1.9285829067230225
344,17200,1.9393441677093504,1.928619146347046
348,17400,1.9394619464874268,1.9286267757415767
352,17600,1.9396134614944456,1.928642988204956
356,17800,1.939691424369812,1.9286779165267944
360,18000,1.9398037195205688,1.928691864013672
364,18200,1.9399479627609253,1.9286973476409912
368,18400,1.9400746822357176,1.9287397861480715
372,18600,1.9402378797531128,1.9287564754486084
376,18800,1.940366506576538,1.92877197265625
380,19000,1.9404869079589844,1.9287900924682615
384,19200,1.940622329711914,1.928804397583008
388,19400,1.9407618045806885,1.928800344467163
392,19600,1.940913200378418,1.928816795349121
396,19800,1.9410383701324463,1.9288194179534912
400,20000,1.9412046670913696,1.9288337230682373
404,20200,1.9413093328475952,1.9288371801376345
408,20400,1.9414347410202024,1.9288592338562007
412,20600,1.94158136844635,1.9288736581802368
416,20800,1.9417040348052976,1.9288763999938965
420,21000,1.9418511390686035,1.9288641214370728
424,21200,1.9419724941253664,1.928883671760559
428,21400,1.9421321153640747,1.9289051294326784
432,21600,1.9422768354415891,1.928882837295532
436,21800,1.9424207210540767,1.928876280784607
440,22000,1.9425561428070068,1.9288910627365112
444,22200,1.9427112340927124,1.9289116859436035
448,22400,1.94281804561615,1.928904414176941
452,22600,1.9429833889007568,1.9288986921310425
456,22800,1.943126320838928,1.9288959503173828
460,23000,1.943259358406067,1.9289194345474243
464,23200,1.9433940649032595,1.92888617515564
468,23400,1.94353187084198,1.9288904666900637
472,23600,1.943682312965393,1.928895711898804
476,23800,1.9438129663467407,1.928923726081848
480,24000,1.9439618587493896,1.928923487663269
484,24200,1.944087505340576,1.92890202999115
488,24400,1.9442098140716555,1.9289252758026123
492,24600,1.9443780183792116,1.9289530515670776
496,24800,1.9445103406906128,1.928924918174744
500,25000,1.9446154832839968,1.9289416074752808
504,25200,1.944769263267517,1.9289450645446775
508,25400,1.9449273347854612,1.9289374351501465
512,25600,1.9451072216033936,1.9289414882659912
516,25800,1.9452449083328247,1.928938388824463
520,26000,1.9453972578048704,1.9289675951004028
524,26200,1.9455214738845823,1.9289318323135376
528,26400,1.9456489086151123,1.9289509057998655
532,26600,1.9458098411560056,1.9289370775222776
536,26800,1.9459457397460935,1.928938865661621
540,27000,1.946084260940552,1.9289438724517824
544,27200,1.946232557296753,1.9289357662200928
548,27400,1.946340799331665,1.928944945335388
552,27600,1.946496844291687,1.928951978683472
556,27800,1.9466429948806765,1.9289554357528689
560,28000,1.9467933177948,1.928932905197144
564,28200,1.9469507932662964,1.928931713104248
568,28400,1.947101593017578,1.9289289712905884
572,28600,1.947237610816956,1.928927063941956
576,28800,1.9473562240600584,1.928950309753418
580,29000,1.947504639625549,1.9289580583572388
584,29200,1.9476330280303955,1.9289618730545044
588,29400,1.9477828741073608,1.9289737939834597
592,29600,1.9479632377624512,1.9289790391922
596,29800,1.9481052160263064,1.9289650917053225
600,30000,1.9482548236846924,1.9289371967315676
604,30200,1.948411226272583,1.92893660068512
608,30400,1.9485459327697756,1.9289491176605225
612,30600,1.9487032890319824,1.928954124450684
616,30800,1.9488404989242556,1.928921103477478
620,31000,1.948991537094116,1.9289137125015257
624,31200,1.9491212368011477,1.9289137125015257
628,31400,1.949261784553528,1.9289028644561768
632,31600,1.949407935142517,1.928905010223389
636,31800,1.9495337009429927,1.928909420967102
640,32000,1.9496771097183228,1.9289186000823972
644,32200,1.9498190879821775,1.9289239645004272
648,32400,1.9499752521514893,1.928911209106445
652,32600,1.950124740600586,1.9288887977600095
656,32800,1.950263738632202,1.928905725479126
660,33000,1.9504313468933103,1.9288969039916992
664,33200,1.9505596160888672,1.928896427154541
668,33400,1.950710415840149,1.9288816452026367
672,33600,1.9508355855941768,1.9288948774337769
676,33800,1.9509656429290767,1.9289063215255735
680,34000,1.951137661933899,1.9288592338562007
684,34200,1.951290726661682,1.9288913011550903
688,34400,1.951447367668152,1.9288897514343264
692,34600,1.9515901803970337,1.9288631677627563
696,34800,1.9517260789871216,1.9288614988327024
700,35000,1.951885461807251,1.92884624004364
704,35200,1.9520519971847532,1.928833603858948
708,35400,1.9521719217300413,1.928859114646912
712,35600,1.9523509740829468,1.9288451671600344
716,35800,1.952481985092163,1.928838968276977
720,36000,1.9526379108428955,1.9288302659988403
724,36200,1.952749848365784,1.928804636001587
728,36400,1.9528937339782717,1.928807020187378
732,36600,1.953053951263428,1.9288157224655151
736,36800,1.9531872272491453,1.9288095235824585
740,37000,1.95333993434906,1.9288172721862795
744,37200,1.9534928798675537,1.928794384002685
748,37400,1.9536479711532595,1.928804993629456
752,37600,1.953811287879944,1.928798794746399
756,37800,1.9539622068405151,1.928802728652954
760,38000,1.954106450080872,1.9287840127944944
764,38200,1.9542521238327024,1.9287984371185305
768,38400,1.9543898105621336,1.9287828207015991
772,38600,1.9545472860336304,1.928765654563904
776,38800,1.9546828269958496,1.9287362098693848
780,39000,1.9548430442810056,1.928741693496704
784,39200,1.9549694061279297,1.928756833076477
788,39400,1.9551235437393188,1.92875611782074
792,39600,1.955263376235962,1.9287467002868648
796,39800,1.9554177522659304,1.9287270307540891
800,40000,1.9555474519729612,1.9287229776382449
804,40200,1.955724120140076,1.9287307262420652
808,40400,1.9558643102645876,1.928714394569397
812,40600,1.956002116203308,1.928706169128418
816,40800,1.956158995628357,1.9287155866622925
820,41000,1.9562971591949463,1.928700804710388
824,41200,1.9564460515975952,1.928677439689636
828,41400,1.9565825462341309,1.928667664527893
832,41600,1.9567326307296755,1.928697109222412
836,41800,1.956889033317566,1.928690314292908
840,42000,1.957036256790161,1.9286664724349976
844,42200,1.957194209098816,1.9286702871322632
848,42400,1.9573283195495603,1.928672432899475
852,42600,1.9574847221374512,1.92865788936615
856,42800,1.9576247930526731,1.9286373853683472
860,43000,1.9577703475952148,1.928626656532288
864,43200,1.9579203128814695,1.9286293983459477
868,43400,1.958065390586853,1.9286141395568848
872,43600,1.958207368850708,1.9285944700241089
876,43800,1.9583415985107424,1.9286013841629028
880,44000,1.95849084854126,1.92857825756073
884,44200,1.9586546421051023,1.9285635948181152
888,44400,1.958787441253662,1.9285694360733032
892,44600,1.9589260816574097,1.928558111190796
896,44800,1.959053635597229,1.9285305738449097
900,45000,1.9591981172561648,1.928542733192444
904,45200,1.9593627452850344,1.9285365343093872
908,45400,1.9595048427581787,1.9285476207733157
912,45600,1.9596470594406128,1.928524613380432
916,45800,1.9598004817962649,1.9285180568695068
920,46000,1.9599583148956297,1.928511619567871
924,46200,1.960099697113037,1.9285153150558472
928,46400,1.9602466821670528,1.9285197257995603
932,46600,1.960407257080078,1.9285013675689695
936,46800,1.9605473279953003,1.9285084009170528
940,47000,1.9606804847717283,1.9284992218017576
944,47200,1.9608361721038816,1.9284838438034055
948,47400,1.9609750509262085,1.9284801483154297
952,47600,1.96111798286438,1.9284842014312744
956,47800,1.961253643035889,1.928468108177185
960,48000,1.961390495300293,1.928457856178284
964,48200,1.9615113735198972,1.928442358970642
968,48400,1.961659789085388,1.9284510612487795
972,48600,1.9618208408355715,1.9284327030181885
976,48800,1.961955547332764,1.9284178018569944
980,49000,1.962108373641968,1.9284104108810425
984,49200,1.9622210264205933,1.928405284881592
988,49400,1.9623751640319824,1.9283995628356931
992,49600,1.962517499923706,1.928385615348816
996,49800,1.9626537561416624,1.9283726215362549
1000,50000,1.9627840518951416,1.9283746480941768
1004,50200,1.9629243612289429,1.9283610582351685
1008,50400,1.9630647897720337,1.928362250328064
1012,50600,1.9632247686386108,1.928341031074524
1016,50800,1.9633525609970093,1.9283430576324463
1020,51000,1.9634820222854612,1.9283432960510252
1024,51200,1.9636154174804688,1.9283409118652344
1028,51400,1.9637550115585327,1.9283454418182373
1032,51600,1.9638766050338743,1.9283324480056765
1036,51800,1.964020609855652,1.9283095598220823
1040,52000,1.964158535003662,1.9283127784729004
1044,52200,1.9642919301986692,1.9282907247543333
1048,52400,1.9644484519958496,1.9282885789871216
1052,52600,1.9645813703536987,1.928288817405701
1056,52800,1.964710593223572,1.9282728433609009
1060,53000,1.964839458465576,1.9282708168029783
1064,53200,1.964982509613037,1.92824387550354
1068,53400,1.9651070833206177,1.9282556772232056
1072,53600,1.965237736701965,1.928236484527588
1076,53800,1.9653739929199217,1.928221583366394
1080,54000,1.9654920101165767,1.9282026290893557
1084,54200,1.9656264781951904,1.9282015562057493
1088,54400,1.9657403230667116,1.9281917810440063
1092,54600,1.965886473655701,1.9281935691833496
1096,54800,1.966000199317932,1.9281766414642332
1100,55000,1.9661245346069336,1.9281610250473025
1104,55200,1.966249227523804,1.9281508922576904
1108,55400,1.9663784503936768,1.9281401634216309
1112,55600,1.9665025472640991,1.9281251430511477
1116,55800,1.966627597808838,1.9281034469604488
1120,56000,1.966752290725708,1.9280997514724727
1124,56200,1.9668668508529663,1.928099513053894
1128,56400,1.9670151472091677,1.9280774593353271
1132,56600,1.9671305418014529,1.9280871152877808
1136,56800,1.967251658439636,1.9280744791030884
1140,57000,1.967376470565796,1.9280604124069212
1144,57200,1.967499852180481,1.92805278301239
1148,57400,1.9676172733306885,1.9280542135238647
1152,57600,1.9677609205245967,1.9280327558517456
1156,57800,1.96786904335022,1.928027629852295
1160,58000,1.9679781198501587,1.9280134439468384
1164,58200,1.968101501464844,1.927997350692749
1168,58400,1.9682074785232544,1.927970051765442
1172,58600,1.968326210975647,1.927959680557251
1176,58800,1.9684687852859497,1.9279459714889529
1180,59000,1.9685719013214111,1.9279416799545288
1184,59200,1.968703269958496,1.927925944328308
1188,59400,1.9688143730163572,1.9279310703277588
1192,59600,1.96892249584198,1.927919149398804
1196,59800,1.96903932094574,1.927891969680786
1200,60000,1.9691535234451292,1.9278873205184937
1204,60200,1.9692612886428835,1.9278806447982788
1208,60400,1.9693833589553835,1.927858591079712
1212,60600,1.9694892168045044,1.9278720617294312
1216,60800,1.969603180885315,1.9278578758239744
1220,61000,1.969704747200012,1.9278390407562256
1224,61200,1.9697909355163572,1.927828431129456
1228,61400,1.9699082374572756,1.9278188943862915
1232,61600,1.9700192213058472,1.9278101921081543
1236,61800,1.970110893249512,1.9277915954589844
1240,62000,1.9702211618423464,1.9278069734573364
1244,62200,1.9703161716461184,1.927787184715271
1248,62400,1.970428824424744,1.9277766942977903
1252,62600,1.9705356359481807,1.9277535676956177
1256,62800,1.970640063285828,1.9277552366256716
1260,63000,1.9707385301589968,1.927739381790161
1264,63200,1.9708387851715088,1.9277381896972656
1268,63400,1.970936894416809,1.927726149559021
1272,63600,1.9710464477539065,1.9277188777923584
1276,63800,1.9711371660232544,1.9277316331863403
1280,64000,1.9712368249893188,1.927709937095642
1284,64200,1.971326231956482,1.927688241004944
1288,64400,1.9714356660842896,1.9276877641677856
1292,64600,1.971537470817566,1.927676796913147
1296,64800,1.9716236591339111,1.9276716709136963
1300,65000,1.9717154502868648,1.927653670310974
1304,65200,1.9718021154403689,1.9276498556137085
1308,65400,1.971896171569824,1.9276151657104488
1312,65600,1.971984624862671,1.9276052713394165
1316,65800,1.9720709323883057,1.9275870323181152
1320,66000,1.9721561670303345,1.927557587623596
1324,66200,1.9722546339035036,1.92755126953125
1328,66400,1.9723353385925293,1.927532434463501
1332,66600,1.9724271297454836,1.9275270700454712
1336,66800,1.9725115299224851,1.927520513534546
1340,67000,1.972597599029541,1.9275245666503904
1344,67200,1.9726821184158323,1.9275109767913816
1348,67400,1.972769856452942,1.927507758140564
1352,67600,1.9728543758392332,1.927495121955872
1356,67800,1.972930669784546,1.927500605583191
1360,68000,1.9730224609375,1.9274921417236328
1364,68200,1.973101496696472,1.9274855852127075
1368,68400,1.973182678222656,1.9274914264678955
1372,68600,1.973265051841736,1.9274839162826536
1376,68800,1.9733412265777588,1.927489995956421
1380,69000,1.9734041690826416,1.9274734258651731
1384,69200,1.9734861850738523,1.9274489879608157
1388,69400,1.973560094833374,1.9274619817733765
1392,69600,1.9736390113830569,1.927462458610535
1396,69800,1.973706603050232,1.9274412393569944
1400,70000,1.9737728834152224,1.9274219274520876
1404,70200,1.9738532304763796,1.9274224042892456
1408,70400,1.973927617073059,1.927424430847168
1412,70600,1.974000096321106,1.927423357963562
1416,70800,1.9740816354751587,1.9274230003356931
1420,71000,1.9741414785385127,1.9274076223373413
1424,71200,1.974218845367432,1.9273977279663088
1428,71400,1.9742772579193115,1.9274019002914429
1432,71600,1.974351406097412,1.9273992776870728
1436,71800,1.9744164943695068,1.9273873567581177
1440,72000,1.974486351013184,1.9273754358291624
1444,72200,1.9745495319366453,1.927390456199646
1448,72400,1.974620342254639,1.9273757934570312
1452,72600,1.9746835231781008,1.9273728132247925
1456,72800,1.974739909172058,1.9273744821548464
1460,73000,1.9748098850250244,1.9273836612701416
1464,73200,1.974870085716248,1.9273823499679563
1468,73400,1.9749376773834229,1.9273818731307983
1472,73600,1.9749914407730105,1.9273768663406368
1476,73800,1.9750601053237915,1.9273748397827148
1480,74000,1.975111484527588,1.9273759126663208
1484,74200,1.975167155265808,1.927358031272888
1488,74400,1.9752285480499268,1.9273442029953003
1492,74600,1.9752869606018064,1.927350997924805
1496,74800,1.9753446578979488,1.927349328994751
1500,75000,1.975392460823059,1.9273545742034912
1504,75200,1.9754514694213867,1.9273606538772583
1508,75400,1.975505352020264,1.9273667335510252
1512,75600,1.975559949874878,1.927379846572876
1516,75800,1.9756255149841309,1.927366852760315
1520,76000,1.975677490234375,1.9273624420166016
1524,76200,1.9757320880889893,1.9273635149002075
